name	objID	ra	dec	run	rerun	camcol	field	type	modelMag_u	modelMag_g	modelMag_r	modelMag_i	modelMag_z
UGC3973	1237663789027688497	115.636742952547	49.8096678273772	4264	301	5	92	GALAXY	15.25621	14.47221	15.48722	13.44969	13.49082
UGC3995	1237657594608615660	116.038038475942	29.2474397318671	2822	301	3	54	GALAXY	15.47174	13.46134	12.56251	12.13091	11.81187
UGC3997	1237673308818571363	116.161410875875	40.3663566134009	6481	301	1	29	GALAXY	16.88814	15.56301	14.96591	14.63396	14.50355
UGC4107	1237663531330961604	119.257778505822	49.5673545519433	4204	301	5	112	GALAXY	15.57506	14.06746	13.53062	13.4546	13.00175
UGC4256	1237674365920739437	122.563231052379	33.9566423134175	6727	301	2	80	GALAXY	15.54865	13.86679	12.98338	12.59465	12.22968
UGC4284	1237651495759773716	123.667175440888	49.0617061177764	1402	301	3	126	GALAXY	15.77202	13.72661	13.04128	12.70232	12.85597
UGC4368	1237664094508089383	125.687310294083	24.2969153898124	4335	301	6	105	GALAXY	15.36496	13.96423	13.19236	12.83194	12.78894
UGC4380	1237663530797039897	126.132745566682	54.8538866247919	4204	301	4	157	GALAXY	16.48347	14.97592	14.26053	13.89131	13.62731
UGC4458	1237664874582048784	128.047190304718	22.5605878350403	4517	301	3	113	GALAXY	14.78443	13.08265	12.35377	11.97415	11.67225
UGC448	1237680332181078039	10.5919414929782	29.641694049582	8116	301	3	292	GALAXY	15.92662	14.15591	13.27495	12.83828	12.55626
UGC4499	1237651252022345857	129.422836625034	51.6523989537893	1345	301	5	156	GALAXY	20.0452	19.24118	19.15702	18.96216	18.6793
UGC4555	1237658191613329449	131.034459234067	34.7172485358193	2961	301	3	119	GALAXY	14.61826	13.35141	12.68946	12.35872	12.18098
UGC4622	1237657118412243112	132.584135359663	41.289420356699	2711	301	4	178	GALAXY	15.85568	14.41493	13.66016	13.29572	12.96432
UGC463	1237653651302711312	10.8849592313547	14.3425614746331	1904	301	2	221	GALAXY	14.55306	13.23345	12.48925	12.1203	11.76846
UGC4659	1237654652567421158	133.668919645937	47.1049458400412	2137	301	3	228	GALAXY	20.85144	19.61179	19.11688	18.96265	18.74722
UGC4936	1237663531875827772	140.084943831493	64.1029722014086	4204	301	6	234	GALAXY	15.25334	13.6261	12.92878	12.55159	12.45412
UGC5	1237672796105670812	0.773518430863135	-1.91383454363394	6361	301	6	11	GALAXY	15.48636	14.00029	13.19122	12.7769	12.48455
UGC5358	1237664104704704628	149.696717493792	11.3884117832069	4338	301	1	45	GALAXY	21.83019	21.38838	19.92207	19.65065	19.45595
UGC5786	1237657219874881638	159.691058904137	53.5033736482598	2735	301	1	87	GALAXY	12.59886	11.59206	11.20404	11.00523	10.78238
UGC6537	1237661357540966422	173.338049493484	47.0292361186552	3698	301	4	117	GALAXY	14.43132	12.89415	12.23215	11.94227	11.63172
UGC6628	1237661355930746984	175.023937099475	45.9421672856386	3698	301	1	123	GALAXY	16.32183	13.4956	13.03439	12.98304	14.03899
UGC6903	1237648722840846413	178.90395323409	1.23718155757936	756	301	6	421	GALAXY	15.65211	13.85529	13.30946	12.9847	12.92803
UGC6918	1237657590858776636	179.11724197001	55.1252338201707	2821	301	4	180	GALAXY	13.49448	12.07865	11.43011	11.11884	10.93663
UGC7012	1237667254014115869	180.513107296533	29.8479836441593	5071	301	3	421	GALAXY	15.60188	14.46213	14.06355	13.85424	13.71967
UGC7154	1237664668444786700	182.506187891561	39.8839722931452	4469	301	3	436	GALAXY	14.61879	13.1226	12.42755	12.06549	11.8862
UGC7244	1237658609293066298	183.575324825211	59.6153613323711	3058	301	5	30	GALAXY	16.07825	14.66406	14.17232	13.86861	13.75949
UGC7917	1237664672714391590	191.109135789951	37.1212088966384	4470	301	3	49	GALAXY	15.63141	13.69139	12.85213	12.43987	12.15607
UGC807	1237666338116206711	18.8959412319813	-0.847871910691206	4858	301	1	480	GALAXY	25.38163	15.64852	14.57497	14.03281	13.72346
UGC8196	1237658919069614163	196.518505007914	55.6560535517219	3130	301	6	61	GALAXY	15.45589	13.61117	12.75532	12.35428	12.0647
UGC8516	1237668299285200955	202.968906870144	20.0010279916342	5314	301	6	168	GALAXY	14.8274	13.71609	13.3069	13.11019	12.98558
UGC8733	1237661873484267680	207.162394898655	43.4124638028866	3818	301	5	275	GALAXY	15.75866	14.05975	13.63324	13.43619	13.37245
UGC8781	1237667736128847901	208.09476533247	21.539352854052	5183	301	5	492	GALAXY	15.8047	13.92978	13.12322	12.72696	12.44934
UGC9067	1237668349208756322	212.689407041662	15.2093997186973	5326	301	3	85	GALAXY	15.69487	14.32835	13.66495	13.3184	13.09108
UGC9177	1237662198814998718	215.128723172344	10.4331267597731	3894	301	3	76	GALAXY	24.63466	23.16009	24.63327	23.76133	22.12367
UGC9476	1237658205059088417	220.383438685215	44.5127683749065	2964	301	4	485	GALAXY	14.86382	13.5305	12.94796	12.62741	12.47908
UGC9837	1237671767462576283	230.965276411263	58.0529764568719	6122	301	2	35	GALAXY	15.70259	14.33289	13.87767	13.59523	13.51593
UGC9965	1237665429179793438	235.028171516538	20.6805945406331	4646	301	4	267	GALAXY	16.12003	14.19583	13.46706	13.10412	12.94583
