name	objID	ra	dec	run	rerun	camcol	field	type	modelMag_u	modelMag_g	modelMag_r	modelMag_i	modelMag_z
NGC2782	1237657874865193078	138.521388038759	40.1136477900927	2887	301	5	206	GALAXY	13.54542	12.49754	11.8586	11.6124	11.30691
NGC2841	1237654652569976914	140.511195162827	50.9766040646934	2137	301	3	267	GALAXY	12.67249	10.76242	9.879772	9.423346	9.099245
NGC3160	1237661139033784476	153.479661108075	38.8429367418587	3647	301	5	106	GALAXY	16.50595	14.61443	13.70754	13.20591	12.85741
NGC3198	1237658612513374224	154.982195433596	45.5511922102206	3059	301	3	16	GALAXY	13.45351	11.84132	11.20285	10.63657	10.37001
NGC3227	1237667735033807039	155.877354023104	19.8651974905977	5183	301	3	167	GALAXY	13.49477	12.35623	12.27438	15.81521	11.13125
NGC3310	1237657219874881638	159.691058904137	53.5033736482598	2735	301	1	87	GALAXY	12.59886	11.59206	11.20404	11.00523	10.78238
NGC3623	1237661813878947918	169.732959608624	13.0923133825506	3804	301	6	82	GALAXY	12.78786	10.74234	9.826006	9.341691	9.076277
NGC3672	1237671166709006390	171.260163114876	-9.7953395966307	5982	301	3	111	GALAXY	13.68642	12.14163	11.32753	10.89915	10.63403
NGC3675	1237661850391412815	171.535649901184	43.5860209485016	3813	301	2	162	GALAXY	13.55699	11.6261	10.65078	10.18426	9.798309
NGC3718	1237657858218786839	173.145191560699	53.0679057805183	2883	301	6	154	GALAXY	15.29475	13.35398	11.80866	11.02803	10.42845
NGC3815	1237667911663157350	175.413722532496	24.800500035153	5224	301	4	149	GALAXY	15.3475	13.78698	13.0298	12.66279	12.40324
NGC3900	1237667322717143063	177.289414448395	27.0220223898534	5087	301	3	170	GALAXY	14.09905	12.2773	11.50177	11.09147	10.84703
NGC3949	1237661358079344682	178.423843842553	47.8587118737483	3698	301	5	140	GALAXY	12.93792	11.58379	11.09945	10.8272	10.6973
NGC4062	1237665226230202499	181.015943590557	31.8957877321648	4599	301	2	78	GALAXY	13.41249	12.27127	11.25133	10.82436	10.58682
NGC4088	1237658613595111438	181.392539586834	50.5393397418628	3059	301	5	138	GALAXY	14.13715	12.52836	11.6151	11.10324	10.77274
NGC4258	1237660635467219004	184.739603024174	47.3039672136064	3530	301	3	386	GALAXY	12.50407	10.91693	10.09777	9.658436	9.381697
NGC4293	1237668591333802010	185.303434669349	18.3826981990773	5382	301	6	28	GALAXY	13.83923	11.99707	11.10022	10.64079	10.38184
NGC4310	1237665440975356008	185.609572932815	29.2090337259872	4649	301	2	29	GALAXY	14.8141	13.30506	12.54327	12.13569	11.87883
NGC4414	1237665328779231263	186.612681058834	31.2311988661385	4623	301	1	180	STAR	24.63469	22.40011	20.21815	19.47181	18.96808
NGC4424	1237662236930342973	186.798993693635	9.42021779342339	3903	301	2	38	STAR	19.49337	18.98496	19.03505	19.0176	18.49536
NGC4450	1237668589723910186	187.123280696347	17.0850106919921	5382	301	3	39	GALAXY	13.46513	11.56297	10.69802	10.27943	9.996951
NGC4451	1237658491745599505	187.168831298127	9.25946247391218	3031	301	2	446	GALAXY	14.47167	13.19864	12.56256	12.26352	12.08651
NGC4527	1237651754014081048	188.535176744346	2.65376443467824	1462	301	4	422	GALAXY	13.95179	12.07336	10.97956	10.36629	9.932092
NGC4580	1237654880725893149	189.451612549802	5.36852623084692	2190	301	4	50	GALAXY	14.11895	12.46431	11.69014	11.30173	11.12036
NGC4625	1237661965821280329	190.469663711055	41.2739588152336	3840	301	1	202	GALAXY	14.14619	13.02174	12.453	12.19166	12.01306
NGC4632	1237648721235410986	190.63350061837	-0.082775559170281	756	301	3	500	GALAXY	13.90556	12.71682	12.14705	11.87834	11.59001
NGC4651	1237668623014952982	190.927691831231	16.3933272084487	5390	301	1	116	GALAXY	13.58202	11.97676	11.1735	10.72692	10.40616
NGC4666	1237671764249477200	191.285849009165	-0.461896017103438	6121	301	4	159	GALAXY	13.49537	11.89846	10.90554	10.39335	9.992348
NGC4698	1237661972799225958	192.095413814735	8.48739836205219	3841	301	6	181	GALAXY	13.39585	11.50287	10.69944	10.27239	10.04975
NGC5033	1237664844511117384	198.364561975781	36.5938990997391	4510	301	3	19	GALAXY	13.62507	11.83694	10.87805	10.36829	10.00097
NGC5055	1237662195067912236	198.955280207773	42.0294048273229	3893	301	4	244	GALAXY	11.0065	11.07855	10.17861	13.64022	9.317443
NGC5248	1237662236937945133	204.383421667431	8.88518238424908	3903	301	2	154	GALAXY	13.36453	11.88604	11.07333	10.65404	10.25877
NGC5303	1237664295297810527	206.937443692098	38.3046181109553	4382	301	4	105	GALAXY	15.06646	13.87257	13.4106	12.84593	12.87391
